"","external_gene_name","chromosome_name","description"
"18473","KRT4","12","keratin 4 [Source:HGNC Symbol;Acc:HGNC:6441]"
"18474","CLASP2","3","cytoplasmic linker associated protein 2 [Source:HGNC Symbol;Acc:HGNC:17078]"
"18475","KRT79","12","keratin 79 [Source:HGNC Symbol;Acc:HGNC:28930]"
"18476","SHE","1","Src homology 2 domain containing E [Source:HGNC Symbol;Acc:HGNC:27004]"
"18477","WDR33","2","WD repeat domain 33 [Source:HGNC Symbol;Acc:HGNC:25651]"
"18478","KRT78","12","keratin 78 [Source:HGNC Symbol;Acc:HGNC:28926]"
"18479","PLA2G2C","1","phospholipase A2 group IIC [Source:HGNC Symbol;Acc:HGNC:9032]"
"18480","PSMB3","17","proteasome 20S subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:9540]"
"18481","KRT18","12","keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]"
"18482","IL22RA2","6","interleukin 22 receptor subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:14901]"
"18483","NTAN1","16","N-terminal asparagine amidase [Source:HGNC Symbol;Acc:HGNC:29909]"
"18484","ARNT","1","aryl hydrocarbon receptor nuclear translocator [Source:HGNC Symbol;Acc:HGNC:700]"
"18485","PIP4K2B","17","phosphatidylinositol-5-phosphate 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:8998]"
"18486","TMEM244","6","transmembrane protein 244 [Source:HGNC Symbol;Acc:HGNC:21571]"
"18487","ARG1","6","arginase 1 [Source:HGNC Symbol;Acc:HGNC:663]"
"18488","CWC25","17","CWC25 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:25989]"
"18489","SFT2D3","2","SFT2 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28767]"
"18490","POLR2D","2","RNA polymerase II subunit D [Source:HGNC Symbol;Acc:HGNC:9191]"
"18491","KRT8","12","keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]"
"18492","RRN3","16","RRN3 homolog, RNA polymerase I transcription factor [Source:HGNC Symbol;Acc:HGNC:30346]"
"18493","TMEM106B","7","transmembrane protein 106B [Source:HGNC Symbol;Acc:HGNC:22407]"
"18494","C17orf98","17","chromosome 17 open reading frame 98 [Source:HGNC Symbol;Acc:HGNC:34492]"
"18495","SAP130","2","Sin3A associated protein 130 [Source:HGNC Symbol;Acc:HGNC:29813]"
"18496","KCNH6","17","potassium voltage-gated channel subfamily H member 6 [Source:HGNC Symbol;Acc:HGNC:18862]"
"18497","MED23","6","mediator complex subunit 23 [Source:HGNC Symbol;Acc:HGNC:2372]"
"18498","INPP4B","4","inositol polyphosphate-4-phosphatase type II B [Source:HGNC Symbol;Acc:HGNC:6075]"
"18499","AZU1","19","azurocidin 1 [Source:HGNC Symbol;Acc:HGNC:913]"
"18500","NUCB2","11","nucleobindin 2 [Source:HGNC Symbol;Acc:HGNC:8044]"
"18501","SERF1B","5","small EDRK-rich factor 1B [Source:HGNC Symbol;Acc:HGNC:10756]"
"18502","NRF1","7","nuclear respiratory factor 1 [Source:HGNC Symbol;Acc:HGNC:7996]"
"18503","PRTN3","19","proteinase 3 [Source:HGNC Symbol;Acc:HGNC:9495]"
"18504","DCAF7","17","DDB1 and CUL4 associated factor 7 [Source:HGNC Symbol;Acc:HGNC:30915]"
"18505","OR6C74","12","olfactory receptor family 6 subfamily C member 74 [Source:HGNC Symbol;Acc:HGNC:31303]"
"18506","SMN2","5","survival of motor neuron 2, centromeric [Source:HGNC Symbol;Acc:HGNC:11118]"
"18507","SIGLEC5","19","sialic acid binding Ig like lectin 5 [Source:HGNC Symbol;Acc:HGNC:10874]"
"18508","ABCC9","12","ATP binding cassette subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:60]"
"18509","KLK15","19","kallikrein related peptidase 15 [Source:HGNC Symbol;Acc:HGNC:20453]"
"18510","PSD4","2","pleckstrin and Sec7 domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19096]"
"18511","PANX1","11","pannexin 1 [Source:HGNC Symbol;Acc:HGNC:8599]"
"18512","TACO1","17","translational activator of cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:24316]"
"18513","ATXN7L3","17","ataxin 7 like 3 [Source:HGNC Symbol;Acc:HGNC:25416]"
"18514","GPR83","11","G protein-coupled receptor 83 [Source:HGNC Symbol;Acc:HGNC:4523]"
"18515","PROSER3","19","proline and serine rich 3 [Source:HGNC Symbol;Acc:HGNC:25204]"
"18516","UBE2H","7","ubiquitin conjugating enzyme E2 H [Source:HGNC Symbol;Acc:HGNC:12484]"
"18517","SRCAP","16","Snf2 related CREBBP activator protein [Source:HGNC Symbol;Acc:HGNC:16974]"
"18518","DPP3","11","dipeptidyl peptidase 3 [Source:HGNC Symbol;Acc:HGNC:3008]"
"18519","ENPP3","6","ectonucleotide pyrophosphatase/phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:3358]"
"18520","FLYWCH2","16","FLYWCH family member 2 [Source:HGNC Symbol;Acc:HGNC:25178]"
"18521","CGB1","19","chorionic gonadotropin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:16721]"
"18522","NTF4","19","neurotrophin 4 [Source:HGNC Symbol;Acc:HGNC:8024]"
"18523","HEXIM2","17","HEXIM P-TEFb complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:28591]"
"18524","SHD","19","Src homology 2 domain containing transforming protein D [Source:HGNC Symbol;Acc:HGNC:30633]"
"18525","GNAO1","16","G protein subunit alpha o1 [Source:HGNC Symbol;Acc:HGNC:4389]"
"18526","PARP1","1","poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270]"
"18527","TRRAP","7","transformation/transcription domain associated protein [Source:HGNC Symbol;Acc:HGNC:12347]"
"18528","TMIGD2","19","transmembrane and immunoglobulin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28324]"
"18529","SLC16A11","17","solute carrier family 16 member 11 [Source:HGNC Symbol;Acc:HGNC:23093]"
"18530","FAM149A","4","family with sequence similarity 149 member A [Source:HGNC Symbol;Acc:HGNC:24527]"
"18531","RPS27A","2","ribosomal protein S27a [Source:HGNC Symbol;Acc:HGNC:10417]"
"18532","FSD1","19","fibronectin type III and SPRY domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13745]"
"18533","DCAKD","17","dephospho-CoA kinase domain containing [Source:HGNC Symbol;Acc:HGNC:26238]"
"18534","TNXB","6","tenascin XB [Source:HGNC Symbol;Acc:HGNC:11976]"
"18535","SPOCK1","5","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1 [Source:HGNC Symbol;Acc:HGNC:11251]"
"18536","KLHL3","5","kelch like family member 3 [Source:HGNC Symbol;Acc:HGNC:6354]"
"18537","TCHP","12","trichoplein keratin filament binding [Source:HGNC Symbol;Acc:HGNC:28135]"
"18538","SULT1C2","2","sulfotransferase family 1C member 2 [Source:HGNC Symbol;Acc:HGNC:11456]"
"18539","TMPRSS9","19","transmembrane serine protease 9 [Source:HGNC Symbol;Acc:HGNC:30079]"
"18540","NPW","16","neuropeptide W [Source:HGNC Symbol;Acc:HGNC:30509]"
"18541","FILIP1L","3","filamin A interacting protein 1 like [Source:HGNC Symbol;Acc:HGNC:24589]"
"18542","NPIPB9","16","nuclear pore complex interacting protein family member B9 [Source:HGNC Symbol;Acc:HGNC:41987]"
"18543","ANKRD13A","12","ankyrin repeat domain 13A [Source:HGNC Symbol;Acc:HGNC:21268]"
"18544","PLPPR3","19","phospholipid phosphatase related 3 [Source:HGNC Symbol;Acc:HGNC:23497]"
"18545","PCDHA4","5","protocadherin alpha 4 [Source:HGNC Symbol;Acc:HGNC:8670]"
"18546","COPG1","3","COPI coat complex subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:2236]"
"18547","MARCHF6","5","membrane associated ring-CH-type finger 6 [Source:HGNC Symbol;Acc:HGNC:30550]"
"18548","GCNT2","6","glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]"
"18549","C11orf91","11","chromosome 11 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:34444]"
"18550","FBF1","17","Fas binding factor 1 [Source:HGNC Symbol;Acc:HGNC:24674]"
"18551","R3HDM4","19","R3H domain containing 4 [Source:HGNC Symbol;Acc:HGNC:28270]"
"18552","NPIPB12","16","nuclear pore complex interacting protein family member B12 [Source:HGNC Symbol;Acc:HGNC:37491]"
"18553","FBXO3","11","F-box protein 3 [Source:HGNC Symbol;Acc:HGNC:13582]"
"18554","NDUFS2","1","NADH:ubiquinone oxidoreductase core subunit S2 [Source:HGNC Symbol;Acc:HGNC:7708]"
"18555","SULT1C4","2","sulfotransferase family 1C member 4 [Source:HGNC Symbol;Acc:HGNC:11457]"
"18556","NOL3","16","nucleolar protein 3 [Source:HGNC Symbol;Acc:HGNC:7869]"
"18557","REV1","2","REV1 DNA directed polymerase [Source:HGNC Symbol;Acc:HGNC:14060]"
"18558","IFT81","12","intraflagellar transport 81 [Source:HGNC Symbol;Acc:HGNC:14313]"
"18559","HMCES","3","5-hydroxymethylcytosine binding, ES cell specific [Source:HGNC Symbol;Acc:HGNC:24446]"
"18560","PRDM8","4","PR/SET domain 8 [Source:HGNC Symbol;Acc:HGNC:13993]"
"18561","KISS1R","19","KISS1 receptor [Source:HGNC Symbol;Acc:HGNC:4510]"
"18562","SYCP2L","6","synaptonemal complex protein 2 like [Source:HGNC Symbol;Acc:HGNC:21537]"
"18563","VPS35L","16","VPS35 endosomal protein sorting factor like [Source:HGNC Symbol;Acc:HGNC:24641]"
"18564","SLFN12L","17","schlafen family member 12 like [Source:HGNC Symbol;Acc:HGNC:33920]"
"18565","ELANE","19","elastase, neutrophil expressed [Source:HGNC Symbol;Acc:HGNC:3309]"
"18566","FGF5","4","fibroblast growth factor 5 [Source:HGNC Symbol;Acc:HGNC:3683]"
"18567","SLC35G6","17","solute carrier family 35 member G6 [Source:HGNC Symbol;Acc:HGNC:31351]"
"18568","NEDD9","6","neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]"
"18569","GMIP","19","GEM interacting protein [Source:HGNC Symbol;Acc:HGNC:24852]"
"18570","SPECC1","17","sperm antigen with calponin homology and coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:30615]"
"18571","ANKRD33B","5","ankyrin repeat domain 33B [Source:HGNC Symbol;Acc:HGNC:35240]"
"18572","OR10A6","11","olfactory receptor family 10 subfamily A member 6 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15132]"
"18573","CC2D2A","4","coiled-coil and C2 domain containing 2A [Source:HGNC Symbol;Acc:HGNC:29253]"
"18574","DNAH8","6","dynein axonemal heavy chain 8 [Source:HGNC Symbol;Acc:HGNC:2952]"
"18575","OR5B12","11","olfactory receptor family 5 subfamily B member 12 [Source:HGNC Symbol;Acc:HGNC:15432]"
"18576","SLIT3","5","slit guidance ligand 3 [Source:HGNC Symbol;Acc:HGNC:11087]"
"18577","OR51V1","11","olfactory receptor family 51 subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:19597]"
"18578","OR8K3","11","olfactory receptor family 8 subfamily K member 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15313]"
"18579","OR9G4","11","olfactory receptor family 9 subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:15322]"
"18580","MBD4","3","methyl-CpG binding domain 4, DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:6919]"
"18581","AMPD3","11","adenosine monophosphate deaminase 3 [Source:HGNC Symbol;Acc:HGNC:470]"
"18582","CDK3","17","cyclin dependent kinase 3 [Source:HGNC Symbol;Acc:HGNC:1772]"
"18583","POTEF","2","POTE ankyrin domain family member F [Source:HGNC Symbol;Acc:HGNC:33905]"
"18584","GPR142","17","G protein-coupled receptor 142 [Source:HGNC Symbol;Acc:HGNC:20088]"
"18585","GUCY2C","12","guanylate cyclase 2C [Source:HGNC Symbol;Acc:HGNC:4688]"
"18586","EPN2","17","epsin 2 [Source:HGNC Symbol;Acc:HGNC:18639]"
"18587","ATP13A1","19","ATPase 13A1 [Source:HGNC Symbol;Acc:HGNC:24215]"
"18588","RBM44","2","RNA binding motif protein 44 [Source:HGNC Symbol;Acc:HGNC:24756]"
"18589","NABP1","2","nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]"
"18590","H2AJ","12","H2A.J histone [Source:HGNC Symbol;Acc:HGNC:14456]"
"18591","RHO","3","rhodopsin [Source:HGNC Symbol;Acc:HGNC:10012]"
"18592","WBP11","12","WW domain binding protein 11 [Source:HGNC Symbol;Acc:HGNC:16461]"
"18593","H1-8","3","H1.8 linker histone [Source:HGNC Symbol;Acc:HGNC:18463]"
"18594","PLXND1","3","plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]"
"18595","BET1L","11","Bet1 golgi vesicular membrane trafficking protein like [Source:HGNC Symbol;Acc:HGNC:19348]"
"18596","SMIM23","5","small integral membrane protein 23 [Source:HGNC Symbol;Acc:HGNC:34440]"
"18597","SELENOP","5","selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]"
"18598","C12orf60","12","chromosome 12 open reading frame 60 [Source:HGNC Symbol;Acc:HGNC:28726]"
"18599","SMCO3","12","single-pass membrane protein with coiled-coil domains 3 [Source:HGNC Symbol;Acc:HGNC:34401]"
"18600","ART4","12","ADP-ribosyltransferase 4 (inactive) (Dombrock blood group) [Source:HGNC Symbol;Acc:HGNC:726]"
"18601","ZNF101","19","zinc finger protein 101 [Source:HGNC Symbol;Acc:HGNC:12881]"
"18602","GAS2","11","growth arrest specific 2 [Source:HGNC Symbol;Acc:HGNC:4167]"
"18603","MGP","12","matrix Gla protein [Source:HGNC Symbol;Acc:HGNC:7060]"
"18604","ZNF14","19","zinc finger protein 14 [Source:HGNC Symbol;Acc:HGNC:12924]"
"18605","SPSB3","16","splA/ryanodine receptor domain and SOCS box containing 3 [Source:HGNC Symbol;Acc:HGNC:30629]"
"18606","","1","novel  protein"
"18607","LPAR2","19","lysophosphatidic acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:3168]"
"18608","ERP27","12","endoplasmic reticulum protein 27 [Source:HGNC Symbol;Acc:HGNC:26495]"
"18609","ZFAND3","6","zinc finger AN1-type containing 3 [Source:HGNC Symbol;Acc:HGNC:18019]"
"18610","CAVIN2","2","caveolae associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10690]"
"18611","PRDX1","1","peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]"
"18612","ARHGDIB","12","Rho GDP dissociation inhibitor beta [Source:HGNC Symbol;Acc:HGNC:679]"
"18613","RTN2","19","reticulon 2 [Source:HGNC Symbol;Acc:HGNC:10468]"
"18614","ACTG2","2","actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]"
"18615","SLC35G3","17","solute carrier family 35 member G3 [Source:HGNC Symbol;Acc:HGNC:26848]"
"18616","RUNDC1","17","RUN domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25418]"
"18617","BTBD9","6","BTB domain containing 9 [Source:HGNC Symbol;Acc:HGNC:21228]"
"18618","NAA15","4","N-alpha-acetyltransferase 15, NatA auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:30782]"
"18619","EFCAB5","17","EF-hand calcium binding domain 5 [Source:HGNC Symbol;Acc:HGNC:24801]"
"18620","APC","5","APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]"
"18621","NASP","1","nuclear autoantigenic sperm protein [Source:HGNC Symbol;Acc:HGNC:7644]"
"18622","H2AX","11","H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]"
"18623","APLNR","11","apelin receptor [Source:HGNC Symbol;Acc:HGNC:339]"
"18624","PDE6H","12","phosphodiesterase 6H [Source:HGNC Symbol;Acc:HGNC:8790]"
"18625","HTR3B","11","5-hydroxytryptamine receptor 3B [Source:HGNC Symbol;Acc:HGNC:5298]"
"18626","POLR2J3","7","RNA polymerase II subunit J3 [Source:HGNC Symbol;Acc:HGNC:33853]"
"18627","OR10P1","12","olfactory receptor family 10 subfamily P member 1 [Source:HGNC Symbol;Acc:HGNC:15378]"
"18628","GLO1","6","glyoxalase I [Source:HGNC Symbol;Acc:HGNC:4323]"
"18629","CEP63","3","centrosomal protein 63 [Source:HGNC Symbol;Acc:HGNC:25815]"
"18630","ATF7IP","12","activating transcription factor 7 interacting protein [Source:HGNC Symbol;Acc:HGNC:20092]"
"18631","KIFC3","16","kinesin family member C3 [Source:HGNC Symbol;Acc:HGNC:6326]"
"18632","DGUOK","2","deoxyguanosine kinase [Source:HGNC Symbol;Acc:HGNC:2858]"
"18633","SLC22A2","6","solute carrier family 22 member 2 [Source:HGNC Symbol;Acc:HGNC:10966]"
"18634","IFITM2","11","interferon induced transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:5413]"
"18635","SLC22A3","6","solute carrier family 22 member 3 [Source:HGNC Symbol;Acc:HGNC:10967]"
"18636","LPA","6","lipoprotein(a) [Source:HGNC Symbol;Acc:HGNC:6667]"
"18637","PPM1N","19","protein phosphatase, Mg2+/Mn2+ dependent 1N (putative) [Source:HGNC Symbol;Acc:HGNC:26845]"
"18638","MAP3K4","6","mitogen-activated protein kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6856]"
"18639","TET3","2","tet methylcytosine dioxygenase 3 [Source:HGNC Symbol;Acc:HGNC:28313]"
"18640","ERAP2","5","endoplasmic reticulum aminopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:29499]"
"18641","ANAPC15","11","anaphase promoting complex subunit 15 [Source:HGNC Symbol;Acc:HGNC:24531]"
"18642","UPK3BL2","7","uroplakin 3B like 2 [Source:HGNC Symbol;Acc:HGNC:53444]"
"18643","POLR2J2","7","RNA polymerase II subunit J2 [Source:HGNC Symbol;Acc:HGNC:23208]"
"18644","OPA3","19","outer mitochondrial membrane lipid metabolism regulator OPA3 [Source:HGNC Symbol;Acc:HGNC:8142]"
"18645","GFPT1","2","glutamine--fructose-6-phosphate transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4241]"
"18646","GPR4","19","G protein-coupled receptor 4 [Source:HGNC Symbol;Acc:HGNC:4497]"
"18647","ZNF582","19","zinc finger protein 582 [Source:HGNC Symbol;Acc:HGNC:26421]"
"18648","KIF9","3","kinesin family member 9 [Source:HGNC Symbol;Acc:HGNC:16666]"
"18649","ADCYAP1R1","7","ADCYAP receptor type I [Source:HGNC Symbol;Acc:HGNC:242]"
"18650","TANC2","17","tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 [Source:HGNC Symbol;Acc:HGNC:30212]"
"18651","ZNF846","19","zinc finger protein 846 [Source:HGNC Symbol;Acc:HGNC:27260]"
"18652","THEGL","4","theg spermatid protein like [Source:HGNC Symbol;Acc:HGNC:43771]"
"18653","PLBD1","12","phospholipase B domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26215]"
"18654","SPINK2","4","serine peptidase inhibitor Kazal type 2 [Source:HGNC Symbol;Acc:HGNC:11245]"
"18655","CFD","19","complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]"
"18656","MLEC","12","malectin [Source:HGNC Symbol;Acc:HGNC:28973]"
"18657","LNPEP","5","leucyl and cystinyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:6656]"
"18658","EPC2","2","enhancer of polycomb homolog 2 [Source:HGNC Symbol;Acc:HGNC:24543]"
"18659","UNC119B","12","unc-119 lipid binding chaperone B [Source:HGNC Symbol;Acc:HGNC:16488]"
"18660","RNF212","4","ring finger protein 212 [Source:HGNC Symbol;Acc:HGNC:27729]"
"18661","CCDC57","17","coiled-coil domain containing 57 [Source:HGNC Symbol;Acc:HGNC:27564]"
"18662","ACADS","12","acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]"
"18663","JAK3","19","Janus kinase 3 [Source:HGNC Symbol;Acc:HGNC:6193]"
"18664","LRRC51","11","leucine rich repeat containing 51 [Source:HGNC Symbol;Acc:HGNC:55526]"
"18665","TNS3","7","tensin 3 [Source:HGNC Symbol;Acc:HGNC:21616]"
"18666","SPPL3","12","signal peptide peptidase like 3 [Source:HGNC Symbol;Acc:HGNC:30424]"
"18667","LIX1","5","limb and CNS expressed 1 [Source:HGNC Symbol;Acc:HGNC:18581]"
"18668","KIF5C","2","kinesin family member 5C [Source:HGNC Symbol;Acc:HGNC:6325]"
"18669","SLC25A11","17","solute carrier family 25 member 11 [Source:HGNC Symbol;Acc:HGNC:10981]"
"18670","HNRNPH1","5","heterogeneous nuclear ribonucleoprotein H1 [Source:HGNC Symbol;Acc:HGNC:5041]"
"18671","CABP1","12","calcium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1384]"
"18672","LIMCH1","4","LIM and calponin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:29191]"
"18673","CCDC17","1","coiled-coil domain containing 17 [Source:HGNC Symbol;Acc:HGNC:26574]"
"18674","GPR171","3","G protein-coupled receptor 171 [Source:HGNC Symbol;Acc:HGNC:30057]"
"18675","RPL18A","19","ribosomal protein L18a [Source:HGNC Symbol;Acc:HGNC:10311]"
"18676","P2RY14","3","purinergic receptor P2Y14 [Source:HGNC Symbol;Acc:HGNC:16442]"
"18677","OR5P3","11","olfactory receptor family 5 subfamily P member 3 [Source:HGNC Symbol;Acc:HGNC:14784]"
"18678","RNF167","17","ring finger protein 167 [Source:HGNC Symbol;Acc:HGNC:24544]"
"18679","HPS5","11","HPS5 biogenesis of lysosomal organelles complex 2 subunit 2 [Source:HGNC Symbol;Acc:HGNC:17022]"
"18680","GPR87","3","G protein-coupled receptor 87 [Source:HGNC Symbol;Acc:HGNC:4538]"
"18681","P2RY13","3","purinergic receptor P2Y13 [Source:HGNC Symbol;Acc:HGNC:4537]"
"18682","AGPAT4","6","1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]"
"18683","P2RY12","3","purinergic receptor P2Y12 [Source:HGNC Symbol;Acc:HGNC:18124]"
"18684","IGSF10","3","immunoglobulin superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:26384]"
"18685","SLC5A5","19","solute carrier family 5 member 5 [Source:HGNC Symbol;Acc:HGNC:11040]"
"18686","KMT2D","12","lysine methyltransferase 2D [Source:HGNC Symbol;Acc:HGNC:7133]"
"18687","CCDC12","3","coiled-coil domain containing 12 [Source:HGNC Symbol;Acc:HGNC:28332]"
"18688","SH2B1","16","SH2B adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30417]"
"18689","PRKN","6","parkin RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:8607]"
"18690","GPBP1L1","1","GC-rich promoter binding protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:28843]"
"18691","PACRG","6","parkin coregulated [Source:HGNC Symbol;Acc:HGNC:19152]"
"18692","NLRP12","19","NLR family pyrin domain containing 12 [Source:HGNC Symbol;Acc:HGNC:22938]"
"18693","SEPTIN7","7","septin 7 [Source:HGNC Symbol;Acc:HGNC:1717]"
"18694","TOPAZ1","3","testis and ovary specific TOPAZ 1 [Source:HGNC Symbol;Acc:HGNC:24746]"
"18695","TCAIM","3","T cell activation inhibitor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25241]"
"18696","PFN1","17","profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]"
"18697","TMEM69","1","transmembrane protein 69 [Source:HGNC Symbol;Acc:HGNC:28035]"
"18698","LYPD6B","2","LY6/PLAUR domain containing 6B [Source:HGNC Symbol;Acc:HGNC:27018]"
"18699","ENO3","17","enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]"
"18700","SLC39A1","1","solute carrier family 39 member 1 [Source:HGNC Symbol;Acc:HGNC:12876]"
"18701","GTF2H1","11","general transcription factor IIH subunit 1 [Source:HGNC Symbol;Acc:HGNC:4655]"
"18702","ZNF44","19","zinc finger protein 44 [Source:HGNC Symbol;Acc:HGNC:13110]"
"18703","QKI","6","QKI, KH domain containing RNA binding [Source:HGNC Symbol;Acc:HGNC:21100]"
"18704","LYPD6","2","LY6/PLAUR domain containing 6 [Source:HGNC Symbol;Acc:HGNC:28751]"
"18705","SERBP1","1","SERPINE1 mRNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17860]"
"18706","NCR1","19","natural cytotoxicity triggering receptor 1 [Source:HGNC Symbol;Acc:HGNC:6731]"
"18707","MMADHC","2","metabolism of cobalamin associated D [Source:HGNC Symbol;Acc:HGNC:25221]"
"18708","NLRP2","19","NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]"
"18709","RPL6","12","ribosomal protein L6 [Source:HGNC Symbol;Acc:HGNC:10362]"
"18710","SAA1","11","serum amyloid A1 [Source:HGNC Symbol;Acc:HGNC:10513]"
"18711","TRA2B","3","transformer 2 beta homolog [Source:HGNC Symbol;Acc:HGNC:10781]"
"18712","SPAG7","17","sperm associated antigen 7 [Source:HGNC Symbol;Acc:HGNC:11216]"
"18713","MIER1","1","MIER1 transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29657]"
"18714","MTLN","2","mitoregulin [Source:HGNC Symbol;Acc:HGNC:27339]"
"18715","MAML1","5","mastermind like transcriptional coactivator 1 [Source:HGNC Symbol;Acc:HGNC:13632]"
"18716","FTO","16","FTO alpha-ketoglutarate dependent dioxygenase [Source:HGNC Symbol;Acc:HGNC:24678]"
"18717","THNSL2","2","threonine synthase like 2 [Source:HGNC Symbol;Acc:HGNC:25602]"
"18718","LTC4S","5","leukotriene C4 synthase [Source:HGNC Symbol;Acc:HGNC:6719]"
"18719","POU2AF1","11","POU class 2 homeobox associating factor 1 [Source:HGNC Symbol;Acc:HGNC:9211]"
"18720","CAMTA2","17","calmodulin binding transcription activator 2 [Source:HGNC Symbol;Acc:HGNC:18807]"
"18721","SUPT3H","6","SPT3 homolog, SAGA and STAGA complex component [Source:HGNC Symbol;Acc:HGNC:11466]"
"18722","MGAT4B","5","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B [Source:HGNC Symbol;Acc:HGNC:7048]"
"18723","RARRES1","3","retinoic acid receptor responder 1 [Source:HGNC Symbol;Acc:HGNC:9867]"
"18724","CD2AP","6","CD2 associated protein [Source:HGNC Symbol;Acc:HGNC:14258]"
"18725","LRRTM4","2","leucine rich repeat transmembrane neuronal 4 [Source:HGNC Symbol;Acc:HGNC:19411]"
"18726","LAYN","11","layilin [Source:HGNC Symbol;Acc:HGNC:29471]"
"18727","MFSD1","3","major facilitator superfamily domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25874]"
"18728","RND3","2","Rho family GTPase 3 [Source:HGNC Symbol;Acc:HGNC:671]"
"18729","PTPN11","12","protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]"
"18730","IRX3","16","iroquois homeobox 3 [Source:HGNC Symbol;Acc:HGNC:14360]"
"18731","OPN5","6","opsin 5 [Source:HGNC Symbol;Acc:HGNC:19992]"
"18732","GP6","19","glycoprotein VI platelet [Source:HGNC Symbol;Acc:HGNC:14388]"
"18733","SIK2","11","salt inducible kinase 2 [Source:HGNC Symbol;Acc:HGNC:21680]"
"18734","FZD7","2","frizzled class receptor 7 [Source:HGNC Symbol;Acc:HGNC:4045]"
"18735","C12orf76","12","chromosome 12 open reading frame 76 [Source:HGNC Symbol;Acc:HGNC:33790]"
"18736","CPPED1","16","calcineurin like phosphoesterase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25632]"
"18737","SLC16A10","6","solute carrier family 16 member 10 [Source:HGNC Symbol;Acc:HGNC:17027]"
